,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
47000,Tennessee,,76.1,76.0,76.2,,,,104195,447,444,449,,,,3725,62,60,64,,,,4045,7,7,7,,,,14,13,15,14,13,15,13,,,16425,297,967430,15,536900,8,4863,24,6936,15,15,16,36,35,38,530070,13,13,14,56887,4,3,4,127,787:1,8,51319,50836,51802,,,,,67,58,7,7,7,5513,17,16,17,1688565,66,66,67,311113,13,13,13,6715984,22.4,16.0,1126692,16.8,30876,0.5,125244,1.9,6428,0.1,366554,5.5,4963780,73.9,94475,2,1,2,51.2,2132860,33.6
47001,Tennessee,Anderson,76.1,75.4,76.8,74.8,92.3,75.9,1299,451,426,477,536,,460,43,67,49,91,,,,45,8,6,11,,,,14,13,14,14,13,14,12,9,15,91,141,10160,13,7031,9,104,46,81,15,12,19,36,35,37,5099,11,10,13,497,3,2,4,111,897:1,6,48679,43944,53414,38024,39228,48161,,51,38,3,2,5,51,14,10,18,20584,67,66,69,3461,12,10,14,76257,21.2,19.8,3022,4.0,344,0.5,1201,1.6,41,0.1,2188,2.9,68059,89.2,734,1,1,1,51.3,26041,34.7
47003,Tennessee,Bedford,74.8,74.0,75.6,74.7,85.8,74.1,799,489,454,524,495,281,512,34,69,48,97,,,,36,8,6,11,,,,14,14,15,14,14,14,12,9,16,46,121,5690,12,2984,7,19,13,67,21,16,26,36,35,37,4627,17,14,19,591,5,3,6,98,1024:1,12,50904,45339,56469,35304,39554,48796,,41,33,,,,32,14,9,19,11631,68,66,71,2292,14,11,16,48117,25.5,15.1,3598,7.5,525,1.1,520,1.1,83,0.2,5822,12.1,37170,77.2,1463,3,2,4,50.9,25053,55.6
47005,Tennessee,Benton,72.6,71.2,74.1,,,,409,606,542,671,,,,10,79,38,145,,,,,,,,,,,16,15,16,15,15,16,14,11,19,13,94,2450,15,1082,7,17,35,38,34,24,46,37,36,38,1308,14,12,17,133,4,3,6,100,999:1,,36034,31656,40412,20625,36635,34255,,45,35,,,,20,25,15,38,5066,76,72,79,794,13,10,16,15986,19.5,23.7,368,2.3,87,0.5,97,0.6,2,0.0,375,2.3,14851,92.9,36,0,0,1,50.9,12937,78.5
47007,Tennessee,Bledsoe,78.1,76.5,79.6,,,,233,396,344,449,,,,,,,,,,,,,,,,,,16,15,16,15,14,15,14,10,18,57,440,2200,16,211,2,,,13,13,7,23,37,36,38,1220,17,14,20,120,5,3,7,68,1472:1,,38261,33484,43038,,,,,56,23,,,,15,21,12,35,3533,76,71,81,373,9,5,12,14717,16.0,18.1,1026,7.0,81,0.6,35,0.2,5,0.0,339,2.3,13058,88.7,260,2,0,4,41.2,12876,100.0
47009,Tennessee,Blount,77.6,77.1,78.1,80.1,90.8,77.3,1925,391,372,409,465,,397,57,54,41,70,,,,49,5,4,7,,,,13,13,14,13,13,13,15,11,18,118,109,14160,11,14303,12,121,31,106,12,10,14,33,32,35,9518,12,11,14,952,3,2,5,82,1214:1,6,51391,48123,54659,28322,31406,52333,,63,36,2,1,3,88,14,11,17,37372,75,74,76,5387,11,10,13,129929,20.4,19.7,3800,2.9,545,0.4,1171,0.9,75,0.1,4285,3.3,118326,91.1,1042,1,1,1,51.5,40140,32.6
47011,Tennessee,Bradley,76.9,76.3,77.4,76.4,89.5,76.5,1591,424,402,445,460,,438,48,52,38,69,,,,55,7,5,9,,,,15,14,15,14,13,14,15,12,18,104,119,13560,13,11906,12,66,21,100,14,11,17,37,36,38,10118,16,14,18,1017,4,3,6,108,926:1,4,48663,44067,53259,34583,29098,48829,,42,29,4,3,6,64,12,10,16,26120,66,64,68,4494,12,10,13,105560,22.0,16.8,5033,4.8,642,0.6,1240,1.2,120,0.1,6608,6.3,90607,85.8,1633,2,1,2,51.4,32630,33.0
47013,Tennessee,Campbell,72.0,71.1,72.9,,,,1018,660,617,702,,,,20,60,37,93,,,,,,,,,,,16,15,16,15,15,16,14,11,18,20,59,6200,16,4113,10,44,37,69,25,19,31,34,33,35,3374,15,12,17,262,3,2,4,136,734:1,8,40866,37365,44367,51641,56250,35344,,68,45,4,2,7,24,12,8,18,10980,69,66,72,1528,10,9,12,39648,20.7,20.4,183,0.5,127,0.3,133,0.3,30,0.1,513,1.3,38233,96.4,26,0,0,0,51.0,22403,55.0
47015,Tennessee,Cannon,74.3,72.8,75.7,,,,287,552,484,619,,,,,,,,,,,,,,,,,,14,13,14,14,13,14,13,9,18,19,161,1700,12,146,1,15,36,28,29,19,42,34,33,36,1223,15,12,17,126,4,3,6,35,2843:1,,51795,46635,56955,,31875,47903,,26,3,10,5,19,15,22,12,36,4015,74,70,78,394,8,5,11,14216,21.3,18.1,218,1.5,50,0.4,49,0.3,15,0.1,332,2.3,13352,93.9,25,0,0,1,50.3,11197,81.1
