"stateFIPS","State","countyFIPS","County","Year","Value",
"47","Tennessee","47001","Anderson","2000","44.01%",
"47","Tennessee","47003","Bedford","2000","44.22%",
"47","Tennessee","47005","Benton","2000","48.26%",
"47","Tennessee","47007","Bledsoe","2000","37.42%",
"47","Tennessee","47009","Blount","2000","39.46%",
"47","Tennessee","47011","Bradley","2000","46.65%",
"47","Tennessee","47013","Campbell","2000","40.56%",
"47","Tennessee","47015","Cannon","2000","40.79%",
"47","Tennessee","47017","Carroll","2000","49.70%",
"47","Tennessee","47019","Carter","2000","40.24%",
"47","Tennessee","47021","Cheatham","2000","36.08%",
"47","Tennessee","47023","Chester","2000","39.64%",
"47","Tennessee","47025","Claiborne","2000","36.83%",
"47","Tennessee","47027","Clay","2000","42.61%",
"47","Tennessee","47029","Cocke","2000","41.04%",
"47","Tennessee","47031","Coffee","2000","47.65%",
"47","Tennessee","47033","Crockett","2000","49.82%",
"47","Tennessee","47035","Cumberland","2000","34.83%",
"47","Tennessee","47037","Davidson","2000","50.32%",
"47","Tennessee","47039","Decatur","2000","47.05%",
"47","Tennessee","47041","DeKalb","2000","48.36%",
"47","Tennessee","47043","Dickson","2000","40.50%",
"47","Tennessee","47045","Dyer","2000","51.31%",
"47","Tennessee","47047","Fayette","2000","38.28%",
"47","Tennessee","47049","Fentress","2000","43.97%",
"47","Tennessee","47051","Franklin","2000","40.91%",
"47","Tennessee","47053","Gibson","2000","51.89%",
"47","Tennessee","47055","Giles","2000","41.33%",
"47","Tennessee","47057","Grainger","2000","44.13%",
"47","Tennessee","47059","Greene","2000","43.05%",
"47","Tennessee","47061","Grundy","2000","39.99%",
"47","Tennessee","47063","Hamblen","2000","53.12%",
"47","Tennessee","47065","Hamilton","2000","50.93%",
"47","Tennessee","47067","Hancock","2000","47.01%",
"47","Tennessee","47069","Hardeman","2000","47.18%",
"47","Tennessee","47071","Hardin","2000","46.07%",
"47","Tennessee","47073","Hawkins","2000","40.95%",
"47","Tennessee","47075","Haywood","2000","48.69%",
"47","Tennessee","47077","Henderson","2000","45.63%",
"47","Tennessee","47079","Henry","2000","44.16%",
"47","Tennessee","47081","Hickman","2000","38.53%",
"47","Tennessee","47083","Houston","2000","46.01%",
"47","Tennessee","47085","Humphreys","2000","50.40%",
"47","Tennessee","47087","Jackson","2000","35.41%",
"47","Tennessee","47089","Jefferson","2000","38.51%",
"47","Tennessee","47091","Johnson","2000","38.96%",
"47","Tennessee","47093","Knox","2000","46.39%",
"47","Tennessee","47095","Lake","2000","48.60%",
"47","Tennessee","47097","Lauderdale","2000","46.65%",
"47","Tennessee","47099","Lawrence","2000","43.88%",
"47","Tennessee","47101","Lewis","2000","39.78%",
"47","Tennessee","47103","Lincoln","2000","40.89%",
"47","Tennessee","47105","Loudon","2000","36.19%",
"47","Tennessee","47111","Macon","2000","44.19%",
"47","Tennessee","47113","Madison","2000","43.65%",
"47","Tennessee","47115","Marion","2000","41.99%",
"47","Tennessee","47117","Marshall","2000","37.15%",
"47","Tennessee","47119","Maury","2000","38.87%",
"47","Tennessee","47107","McMinn","2000","42.98%",
"47","Tennessee","47109","McNairy","2000","48.67%",
"47","Tennessee","47121","Meigs","2000","35.97%",
"47","Tennessee","47123","Monroe","2000","34.63%",
"47","Tennessee","47125","Montgomery","2000","39.45%",
"47","Tennessee","47127","Moore","2000","35.63%",
"47","Tennessee","47129","Morgan","2000","42.36%",
"47","Tennessee","47131","Obion","2000","51.97%",
"47","Tennessee","47133","Overton","2000","44.84%",
"47","Tennessee","47135","Perry","2000","39.30%",
"47","Tennessee","47137","Pickett","2000","43.64%",
"47","Tennessee","47139","Polk","2000","36.38%",
"47","Tennessee","47141","Putnam","2000","42.08%",
"47","Tennessee","47143","Rhea","2000","43.79%",
"47","Tennessee","47145","Roane","2000","50.05%",
"47","Tennessee","47147","Robertson","2000","34.41%",
"47","Tennessee","47149","Rutherford","2000","30.72%",
"47","Tennessee","47151","Scott","2000","38.48%",
"47","Tennessee","47153","Sequatchie","2000","42.03%",
"47","Tennessee","47155","Sevier","2000","29.02%",
"47","Tennessee","47157","Shelby","2000","52.35%",
"47","Tennessee","47159","Smith","2000","36.95%",
"47","Tennessee","47161","Stewart","2000","36.54%",
"47","Tennessee","47163","Sullivan","2000","48.58%",
"47","Tennessee","47165","Sumner","2000","42.93%",
"47","Tennessee","47167","Tipton","2000","35.89%",
"47","Tennessee","47169","Trousdale","2000","47.50%",
"47","Tennessee","47171","Unicoi","2000","40.63%",
"47","Tennessee","47173","Union","2000","37.67%",
"47","Tennessee","47175","Van Buren","2000","38.65%",
"47","Tennessee","47177","Warren","2000","49.15%",
"47","Tennessee","47179","Washington","2000","43.65%",
"47","Tennessee","47181","Wayne","2000","44.95%",
"47","Tennessee","47183","Weakley","2000","48.01%",
"47","Tennessee","47185","White","2000","43.87%",
"47","Tennessee","47187","Williamson","2000","30.44%",
"47","Tennessee","47189","Wilson","2000","36.96%",
