,,,Health Outcomes,,Health Factors,,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,
47000,Tennessee,,,,,,
47001,Tennessee,Anderson,-0.35,32,-0.43,14,
47003,Tennessee,Bedford,-0.14,38,0.13,61,
47005,Tennessee,Benton,0.85,83,0.45,85,
47007,Tennessee,Bledsoe,-0.84,12,0.88,93,
47009,Tennessee,Blount,-1.05,7,-0.61,9,
47011,Tennessee,Bradley,-0.64,18,-0.13,31,
47013,Tennessee,Campbell,1.33,91,0.51,86,
47015,Tennessee,Cannon,0.07,49,-0.07,36,
47017,Tennessee,Carroll,0.22,61,-0.01,45,
47019,Tennessee,Carter,0.05,48,0.19,70,
47021,Tennessee,Cheatham,-0.49,23,-0.42,15,
47023,Tennessee,Chester,-1.37,6,-0.22,25,
47025,Tennessee,Claiborne,0.54,73,0.10,57,
47027,Tennessee,Clay,2.11,95,0.38,78,
47029,Tennessee,Cocke,1.39,92,0.54,87,
47031,Tennessee,Coffee,-0.02,45,-0.12,33,
47033,Tennessee,Crockett,-0.45,26,0.18,67,
47035,Tennessee,Cumberland,-0.41,29,-0.21,27,
47037,Tennessee,Davidson,-0.95,11,-0.22,26,
47039,Tennessee,Decatur,-0.17,36,0.07,51,
47041,Tennessee,DeKalb,0.59,75,0.18,68,
47043,Tennessee,Dickson,-0.13,39,-0.33,21,
47045,Tennessee,Dyer,0.58,74,0.24,71,
47047,Tennessee,Fayette,-1.02,9,-0.35,19,
47049,Tennessee,Fentress,0.59,76,0.14,62,
47051,Tennessee,Franklin,-0.43,27,-0.33,20,
47053,Tennessee,Gibson,0.42,69,-0.02,43,
47055,Tennessee,Giles,0.13,56,-0.02,44,
47057,Tennessee,Grainger,0.28,64,-0.07,38,
47059,Tennessee,Greene,0.08,50,-0.03,42,
47061,Tennessee,Grundy,1.61,93,0.64,89,
47063,Tennessee,Hamblen,0.01,46,0.14,65,
47065,Tennessee,Hamilton,-0.80,14,-0.52,12,
47067,Tennessee,Hancock,1.66,94,0.81,92,
47069,Tennessee,Hardeman,0.68,79,0.74,91,
47071,Tennessee,Hardin,0.83,82,0.09,55,
47073,Tennessee,Hawkins,0.14,57,-0.07,39,
47075,Tennessee,Haywood,0.76,81,0.55,88,
47077,Tennessee,Henderson,0.64,77,0.16,66,
47079,Tennessee,Henry,0.03,47,0.11,58,
47081,Tennessee,Hickman,0.09,51,0.12,60,
47083,Tennessee,Houston,0.25,63,0.28,73,
47085,Tennessee,Humphreys,0.12,55,-0.04,41,
47087,Tennessee,Jackson,0.65,78,0.66,90,
47089,Tennessee,Jefferson,-0.63,19,-0.41,16,
47091,Tennessee,Johnson,0.94,85,0.02,49,
47093,Tennessee,Knox,-0.71,16,-0.70,5,
47095,Tennessee,Lake,1.25,89,1.25,95,
47097,Tennessee,Lauderdale,1.11,86,0.93,94,
47099,Tennessee,Lawrence,-0.05,44,-0.12,32,
47101,Tennessee,Lewis,0.21,60,0.03,50,
47103,Tennessee,Lincoln,0.11,53,-0.04,40,
47105,Tennessee,Loudon,-0.51,22,-0.67,7,
47107,Tennessee,McMinn,0.18,59,0.08,52,
47109,Tennessee,McNairy,0.49,71,0.31,74,
47111,Tennessee,Macon,0.53,72,0.44,84,
47113,Tennessee,Madison,-0.15,37,-0.31,22,
47115,Tennessee,Marion,0.34,66,0.08,53,
47117,Tennessee,Marshall,-0.56,20,-0.38,17,
47119,Tennessee,Maury,-0.77,15,-0.57,10,
47121,Tennessee,Meigs,1.32,90,0.27,72,
47123,Tennessee,Monroe,0.17,58,0.19,69,
47125,Tennessee,Montgomery,-0.83,13,-0.38,18,
47127,Tennessee,Moore,-1.45,4,-0.68,6,
47129,Tennessee,Morgan,1.19,88,0.32,75,
47131,Tennessee,Obion,-0.07,42,0.36,77,
47133,Tennessee,Overton,-0.10,40,0.14,63,
47135,Tennessee,Perry,0.87,84,0.40,79,
47137,Tennessee,Pickett,-0.97,10,-0.11,34,
47139,Tennessee,Polk,0.34,65,0.00,47,
47141,Tennessee,Putnam,-0.48,24,-0.18,29,
47143,Tennessee,Rhea,0.43,70,0.41,81,
47145,Tennessee,Roane,0.25,62,-0.21,28,
47147,Tennessee,Robertson,-1.05,8,-0.54,11,
47149,Tennessee,Rutherford,-1.59,3,-0.62,8,
47151,Tennessee,Scott,1.12,87,0.43,83,
47153,Tennessee,Sequatchie,-0.30,33,0.02,48,
47155,Tennessee,Sevier,-0.43,28,-0.01,46,
47157,Tennessee,Shelby,0.12,54,0.33,76,
47159,Tennessee,Smith,-0.37,31,-0.23,24,
47161,Tennessee,Stewart,-0.53,21,0.14,64,
47163,Tennessee,Sullivan,-0.46,25,-0.52,13,
47165,Tennessee,Sumner,-1.44,5,-0.75,3,
47167,Tennessee,Tipton,-0.30,34,-0.13,30,
47169,Tennessee,Trousdale,-0.08,41,-0.07,37,
47171,Tennessee,Unicoi,0.41,67,0.08,54,
47173,Tennessee,Union,0.75,80,0.40,80,
47175,Tennessee,Van Buren,0.41,68,0.12,59,
47177,Tennessee,Warren,0.09,52,0.09,56,
47179,Tennessee,Washington,-0.66,17,-0.72,4,
47181,Tennessee,Wayne,-0.30,35,0.42,82,
47183,Tennessee,Weakley,-0.37,30,-0.09,35,
47185,Tennessee,White,-0.07,43,-0.26,23,
47187,Tennessee,Williamson,-3.16,1,-2.03,1,
47189,Tennessee,Wilson,-1.69,2,-0.80,2,
