,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,
47000,Tennessee,,,,,,,,,,,,,,
47001,Tennessee,Anderson,-0.20,30,-0.15,30,-0.11,19,-0.22,7,-0.10,31,0.01,57,
47003,Tennessee,Bedford,-0.14,34,-0.01,46,0.03,56,0.06,67,-0.03,42,0.06,86,
47005,Tennessee,Benton,0.70,86,0.15,65,0.10,74,0.11,81,0.23,81,0.01,59,
47007,Tennessee,Bledsoe,-0.69,7,-0.15,32,0.33,93,0.19,90,0.41,93,-0.05,11,
47009,Tennessee,Blount,-0.55,14,-0.50,9,-0.16,10,-0.18,9,-0.32,7,0.04,80,
47011,Tennessee,Bradley,-0.58,11,-0.06,40,0.01,54,0.02,47,-0.18,18,0.02,67,
47013,Tennessee,Campbell,0.84,90,0.48,86,0.14,84,0.12,83,0.28,84,-0.03,21,
47015,Tennessee,Cannon,0.21,69,-0.14,35,-0.02,40,0.05,64,-0.07,37,-0.03,26,
47017,Tennessee,Carroll,0.40,79,-0.18,28,-0.02,43,-0.04,32,0.04,56,0.00,51,
47019,Tennessee,Carter,-0.23,27,0.28,75,0.14,83,0.04,58,0.04,58,-0.03,24,
47021,Tennessee,Cheatham,0.04,51,-0.53,8,-0.12,16,-0.05,29,-0.28,11,0.03,70,
47023,Tennessee,Chester,-0.82,5,-0.56,7,-0.09,28,0.02,50,-0.14,22,-0.02,37,
47025,Tennessee,Claiborne,0.18,67,0.36,80,-0.06,33,-0.02,39,0.22,78,-0.03,23,
47027,Tennessee,Clay,1.30,94,0.81,94,-0.01,47,0.11,82,0.27,83,0.02,64,
47029,Tennessee,Cocke,0.96,93,0.43,84,0.20,89,-0.04,31,0.41,92,-0.02,39,
47031,Tennessee,Coffee,0.06,54,-0.08,39,0.04,61,-0.05,30,-0.12,27,0.01,55,
47033,Tennessee,Crockett,-0.59,10,0.15,63,0.14,85,0.12,84,-0.13,25,0.04,78,
47035,Tennessee,Cumberland,-0.19,31,-0.22,24,-0.11,18,-0.10,14,0.09,66,-0.08,3,
47037,Tennessee,Davidson,-0.53,16,-0.42,12,-0.07,32,-0.08,19,-0.08,36,0.01,60,
47039,Tennessee,Decatur,-0.13,35,-0.03,43,-0.05,35,0.03,52,0.14,70,-0.05,9,
47041,Tennessee,DeKalb,0.47,82,0.13,61,0.00,51,0.09,74,0.11,69,-0.02,35,
47043,Tennessee,Dickson,0.23,70,-0.35,16,-0.13,15,0.04,60,-0.22,14,-0.02,30,
47045,Tennessee,Dyer,0.14,62,0.44,85,0.22,90,0.03,55,0.01,49,-0.02,34,
47047,Tennessee,Fayette,-0.59,9,-0.43,11,-0.19,5,-0.06,25,-0.11,30,0.01,53,
47049,Tennessee,Fentress,0.25,72,0.34,78,-0.02,44,0.13,86,0.06,61,-0.04,14,
47051,Tennessee,Franklin,-0.19,32,-0.25,22,-0.10,25,-0.04,36,-0.15,20,-0.05,10,
47053,Tennessee,Gibson,0.16,63,0.27,74,0.10,75,-0.10,16,-0.07,38,0.04,79,
47055,Tennessee,Giles,0.08,56,0.04,52,0.08,70,0.00,44,-0.14,23,0.04,76,
47057,Tennessee,Grainger,0.17,65,0.11,59,-0.04,37,0.05,65,-0.06,40,-0.03,25,
47059,Tennessee,Greene,0.09,58,-0.01,45,0.00,52,-0.06,27,0.00,47,0.03,68,
47061,Tennessee,Grundy,0.86,91,0.75,91,0.13,82,0.19,91,0.30,85,0.02,66,
47063,Tennessee,Hamblen,-0.04,43,0.05,54,0.10,73,0.00,43,-0.01,44,0.06,87,
47065,Tennessee,Hamilton,-0.54,15,-0.26,20,-0.16,8,-0.23,5,-0.15,21,0.02,65,
47067,Tennessee,Hancock,1.31,95,0.35,79,0.22,91,0.09,76,0.58,95,-0.07,6,
47069,Tennessee,Hardeman,0.01,47,0.68,90,0.31,92,0.07,69,0.36,88,0.00,46,
47071,Tennessee,Hardin,0.66,84,0.17,69,-0.06,34,0.01,46,0.16,74,-0.04,16,
47073,Tennessee,Hawkins,0.14,61,0.00,48,-0.10,23,-0.02,40,-0.02,43,0.07,91,
47075,Tennessee,Haywood,-0.03,44,0.79,93,0.16,87,0.03,53,0.32,87,0.04,81,
47077,Tennessee,Henderson,0.44,80,0.20,72,0.08,69,0.08,73,0.03,51,-0.02,29,
47079,Tennessee,Henry,0.05,52,-0.02,44,0.11,77,-0.07,21,0.09,65,-0.02,36,
47081,Tennessee,Hickman,0.01,48,0.08,57,0.09,72,0.05,62,-0.04,41,0.03,73,
47083,Tennessee,Houston,0.13,60,0.12,60,0.03,55,0.09,78,0.11,68,0.05,83,
