,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Mammography screening,,,,,Flu vaccinations,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,Preventable Hosp. Rate,Z-Score,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,Z-Score,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
47000,Tennessee,,9121,9039,9204,,,,,19,18,20,,4.4,4.1,4.7,,4.5,4.1,4.8,,,9,9,9,,,,,22,21,24,,33,,,,6.3,,27,,,,71,,14,13,16,,1311,4997,26,26,27,,32304,489.4,,33,33,34,,,,,581927,11,10,11,,4802,72,1385:1,,3574,53,1879:1,,9531,142,705:1,,5305,,,,,40,,,,,48,,,,,71587,90,,1033412,1716447,60,60,61,,118560,3198773,3.7,,21,20,22,,,,,97093,20480,4.7,,525915,1483144,35,35,36,,7505,11.3,,40973,621,,28245,86,85,87,,10.0,,,,15,15,15,,,,,84,83,84,,,,,2466424,34,34,35,
47001,Tennessee,Anderson,9536,8703,10368,-0.40,11586,,9749,19,18,20,-0.51,4.7,4.5,4.9,-0.47,4.7,4.5,4.9,-0.35,,9,8,10,-0.10,12,,9,21,20,22,-0.68,32,26,38,-0.56,7.5,0.23,28,23,34,-0.41,66,-0.62,14,13,14,0.00,18,60,30,23,37,0.14,263,347.2,-0.09,37,34,40,-0.19,29,24,38,5550,9,8,11,-1.31,46,61,1651:1,-0.49,55,72,1386:1,-2.03,69,90,1105:1,-0.26,4867,-0.58,5397,,4825,49,-1.98,53,54,49,54,-1.49,42,43,55,859,92,0.15,10273,17614,58,54,63,-0.98,1333,34175,3.9,-0.51,22,16,28,-0.35,26,34,25,96851,19940,4.9,0.62,5894,15656,38,32,43,0.65,118,15.5,-1.22,251,401,0.05,404,107,96,117,0.46,10.3,0.55,No,-0.59,13,12,15,12,1,1,-0.08,87,85,89,0.77,95,77,90,27323,34,31,37,-0.42
47003,Tennessee,Bedford,9762,8769,10754,-0.28,9265,4454,10683,22,21,22,0.45,4.8,4.6,5.0,-0.10,4.7,4.5,4.9,-0.20,,9,8,10,-0.11,14,6,9,21,21,22,-0.36,33,26,39,-0.30,7.9,-0.38,33,26,39,0.79,51,0.13,15,14,15,0.68,24,47,51,45,57,2.08,153,324.3,-0.20,43,39,47,0.42,33,49,43,5173,13,11,15,1.19,18,38,2638:1,0.27,12,25,4010:1,0.57,33,69,1458:1,0.04,6034,0.09,3236,,6300,42,-0.65,51,29,41,45,0.10,36,21,45,571,91,0.45,5013,12114,41,36,46,0.64,804,20539,3.9,-0.49,23,17,29,-0.19,29,29,19,82588,21083,3.9,-1.24,4316,11929,36,30,42,0.44,45,9.5,0.36,200,425,0.17,203,86,74,98,-0.50,10.5,0.95,Yes,1.66,15,13,18,12,4,1,0.72,82,79,85,-0.74,81,64,81,17179,36,31,40,-0.25
47005,Tennessee,Benton,12828,10692,14965,1.40,,,,21,20,22,0.32,5.2,5.0,5.5,1.07,5.1,4.9,5.4,1.34,,8,7,10,-0.63,,,,23,22,24,0.24,35,28,41,0.54,7.4,0.38,32,25,39,0.52,48,0.27,12,12,13,-1.23,11,27,41,31,50,1.13,56,347.2,-0.09,50,42,58,1.15,,,,1431,12,10,13,0.41,3,19,5338:1,0.91,3,19,5329:1,0.91,6,38,2664:1,0.48,6528,0.37,,,,32,1.25,,,,47,-0.25,37,40,48,166,96,-0.77,1515,3422,44,36,52,0.36,364,6769,5.4,1.28,30,21,39,0.91,,93,28,69035,14105,4.9,0.69,1152,3209,36,25,47,0.40,21,13.1,-0.59,25,152,-1.15,130,161,134,189,3.00,10.0,-0.06,No,-0.59,16,13,19,13,3,1,1.07,87,83,91,0.83,,,,4807,27,22,32,-1.04
47007,Tennessee,Bledsoe,7735,6103,9367,-1.39,,,,22,21,23,0.64,5.1,4.9,5.4,0.81,4.8,4.5,5.0,0.05,,7,5,9,-1.51,,,,26,25,27,1.64,35,28,42,0.63,7.8,-0.23,29,23,36,-0.30,25,1.41,14,13,15,0.13,4,8,50,32,65,1.98,180,1241.2,3.00,42,34,51,0.31,,,,1331,14,12,16,1.88,1,7,14675:1,1.31,3,20,4906:1,0.82,4,27,3679:1,0.62,5025,-0.49,,,,36,0.49,,,,34,2.04,,,,124,85,1.79,1329,3954,34,27,40,1.38,253,4317,5.9,1.87,30,21,40,0.97,20,84,25,81994,17665,4.6,0.19,679,2313,29,21,38,-0.55,7,4.8,1.58,24,173,-1.05,60,85,65,109,-0.56,9.4,-1.26,No,-0.59,18,13,22,13,3,2,1.73,77,71,83,-2.32,,,,3942,51,40,61,1.17
47009,Tennessee,Blount,8268,7676,8860,-1.09,8794,,8458,17,16,17,-1.44,4.6,4.4,4.8,-0.78,4.5,4.3,4.7,-0.96,,8,7,8,-0.92,11,4,8,19,18,20,-1.47,35,29,41,0.54,7.7,-0.08,26,21,31,-1.15,67,-0.66,14,13,15,0.32,34,109,31,26,36,0.25,473,371.7,0.04,30,28,32,-0.83,32,39,30,10388,10,9,11,-0.69,92,72,1399:1,-0.85,75,58,1732:1,-1.24,154,119,844:1,-0.65,4892,-0.57,5676,8481,4884,45,-1.22,61,30,45,54,-1.49,43,37,54,1330,94,-0.44,17521,29975,58,55,62,-0.99,2152,61819,3.5,-1.02,17,13,21,-1.13,28,39,17,96133,22746,4.2,-0.63,6977,26229,27,23,30,-0.95,146,11.3,-0.13,449,354,-0.18,517,81,74,88,-0.74,10.1,0.15,Yes,1.66,13,11,14,12,1,1,-0.40,86,84,87,0.41,90,74,87,49316,36,33,38,-0.23
47011,Tennessee,Bradley,8153,7549,8756,-1.16,9129,,8499,21,20,22,0.23,5.0,4.8,5.2,0.43,4.7,4.5,4.9,-0.39,,8,8,9,-0.44,12,7,8,20,19,21,-0.98,38,33,43,2.07,7.3,0.53,32,28,37,0.76,75,-1.04,13,13,14,-0.37,20,63,32,25,38,0.30,412,395.8,0.16,34,32,36,-0.45,32,46,34,11037,13,11,15,1.20,59,56,1771:1,-0.35,52,49,2030:1,-0.77,74,70,1426:1,0.02,5345,-0.31,6429,2978,5304,42,-0.65,51,41,42,44,0.28,35,35,44,1186,91,0.45,14716,25890,57,53,61,-0.84,1836,50172,3.7,-0.80,21,16,25,-0.56,24,52,24,90670,20189,4.5,-0.11,7328,23014,32,27,37,-0.19,151,14.5,-0.93,576,554,0.79,377,73,65,80,-1.14,10.7,1.35,No,-0.59,16,14,17,13,3,1,0.93,84,82,86,-0.18,76,86,84,38090,26,23,28,-1.15
47013,Tennessee,Campbell,13350,12081,14619,1.69,,,,22,21,23,0.63,5.1,4.9,5.3,0.71,5.0,4.7,5.2,0.72,,10,9,12,1.38,,,,25,24,26,1.37,33,26,39,-0.38,7.0,0.99,30,23,36,-0.09,65,-0.56,14,13,14,-0.14,12,48,25,18,33,-0.33,123,309.4,-0.28,49,44,54,1.08,,,,3616,12,10,13,0.27,20,50,1986:1,-0.15,12,30,3304:1,0.28,15,38,2643:1,0.47,8949,1.76,,,,39,-0.08,,,,42,0.63,,,,460,94,-0.25,4049,9387,43,38,48,0.47,759,14825,5.1,0.97,32,23,41,1.34,,80,30,75242,14110,5.3,1.56,2923,7987,37,31,43,0.50,44,11.1,-0.06,167,419,0.14,228,114,100,129,0.83,9.7,-0.66,No,-0.59,14,11,16,12,1,1,-0.03,85,82,87,0.19,,,,12461,36,32,40,-0.18
47015,Tennessee,Cannon,11040,9079,13001,0.42,,,,19,18,20,-0.48,4.6,4.4,4.8,-0.67,4.7,4.5,5.0,-0.13,,9,7,10,-0.08,,,,21,21,22,-0.32,35,28,44,0.89,8.4,-1.14,30,22,39,0.00,21,1.61,14,14,15,0.57,2,13,15,3,32,-1.21,42,303.5,-0.31,36,29,44,-0.23,,,,1339,12,10,14,0.44,4,29,3507:1,0.58,3,21,4739:1,0.78,4,28,3554:1,0.61,6293,0.23,,,,40,-0.27,,,,47,-0.25,53,,47,137,93,0.00,1426,3418,42,34,49,0.61,221,6235,3.5,-0.94,23,16,29,-0.22,,,,85875,20549,4.2,-0.72,942,2937,32,23,42,-0.15,13,9.3,0.41,25,177,-1.03,95,136,110,167,1.87,9.7,-0.66,No,-0.59,12,8,15,9,2,1,-0.92,84,80,89,0.05,,,,5056,62,54,71,2.27
