FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,47,TENNESSEE,TN,47001,Anderson,47001980100,"Census Tract 9801, Anderson County, Tennessee",16.9912436,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,8604.0
1,47,TENNESSEE,TN,47017,Carroll,47017980100,"Census Tract 9801, Carroll County, Tennessee",18.8918033,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,678.0
2,47,TENNESSEE,TN,47029,Cocke,47029980100,"Census Tract 9801, Cocke County, Tennessee",26.5367298,0.0,12.0,12.0,18.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,141.4,0.0,85.6,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,4.0
3,47,TENNESSEE,TN,47031,Coffee,47031980100,"Census Tract 9801, Coffee County, Tennessee",33.0157168,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,1745.0
4,47,TENNESSEE,TN,47037,Davidson,47037980100,"Census Tract 9801, Davidson County, Tennessee",6.0175989,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,9330.0
5,47,TENNESSEE,TN,47037,Davidson,47037980200,"Census Tract 9802, Davidson County, Tennessee",1.4479497,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,9366.0
6,47,TENNESSEE,TN,47065,Hamilton,47065980100,"Census Tract 9801, Hamilton County, Tennessee",1.6703475,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,578.0
7,47,TENNESSEE,TN,47065,Hamilton,47065980200,"Census Tract 9802, Hamilton County, Tennessee",10.3212385,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,17321.0
8,47,TENNESSEE,TN,47145,Roane,47145980100,"Census Tract 9801, Roane County, Tennessee",32.2668878,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,5717.0
9,47,TENNESSEE,TN,47155,Sevier,47155980100,"Census Tract 9801, Sevier County, Tennessee",185.5724575,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,35.0
