,Unnamed: 0,LICENSED,INSTRUCTIONAL,CLASSROOM,Unnamed: 4,Unnamed: 5
0,,EDUCATORS,PERSONNEL,TEACHER,PRINCIPAL,SUPERINTENDENT
1,ANDERSON CO,"49,268","48,764","46,386","81,234","135,000"
2,CLINTON,"49,636","49,025","45,343","73,800","100,000"
3,OAK RIDGE,"66,065","65,927","63,519","98,186","188,840"
4,BEDFORD CO,"47,974","47,685","45,733","78,245","107,826"
5,BENTON CO,"48,233","48,032","45,908","64,938","89,207"
6,BLEDSOE CO,"51,766","51,268","48,781","69,205","103,635"
7,BLOUNT CO,"53,556","53,330","50,990","90,387","128,900"
8,ALCOA,"64,653","64,502","61,790","99,120","112,567"
9,MARYVILLE,"65,067","64,638","62,383","1 06,441","155,897"
10,BRADLEY CO,"52,614","52,471","50,559","79,943","136,000"
11,CLEVELAND,"55,241","54,995","52,155","92,900","138,000"
12,CAMPBELL CO,"48,445","48,239","45,726","72,243","108,918"
13,CANNON CO,"46,534","46,219","44,245","68,512","99,521"
14,CARROLL CO,"47,177","43,919","42,115","54,745","94,732"
15,*HOLLOW ROCK-BR,"45,482","44,419","42,627","66,570","88,876"
16,*HUNTINGDON,"50,002","49,524","47,468","78,083","97,690"
17,*MCKENZIE,"49,860","49,295","47,028","76,923","88,978"
18,*SOUTH CARROLL,"48,333","48,204","45,813","66,177","92,527"
19,*WEST CARROLL,"46,471","45,944","44,329","68,459","90,162"
20,CARTER CO,"45,663","45,421","44,188","61,110","90,993"
21,ELIZABETHTON,"50,666","50,241","47,945","80,167","110,313"
22,CHEATHAM CO,"47,553","47,452","45,380","78,234","101,449"
23,CHESTER CO,"48,748","48,148","45,955","76,149","100,425"
24,CLAIBORNE CO,"46,329","45,968","43,714","72,503","107,751"
25,CLAY CO,"46,789","46,232","43,905","62,520","77,563"
26,COCKE CO,"47,887","47,543","45,497","75,125","120,945"
27,NEWPORT,"49,005","48,408","47,248","75,774","88,000"
28,COFFEE CO,"48,984","48,713","46,537","72,201","118,554"
29,MANCHESTER,"54,377","53,896","51,466","75,321","115,000"
30,TULLAHOMA,"53,427","52,887","50,964","87,513","142,844"
31,CROCKETT CO,"47,765","46,966","45,012","66,842","108,915"
32,ALAMO,"45,070","43,411","42,886","70,003","101,356"
33,BELLS,"48,652","48,652","46,747","56,399","76,000"
34,CUMBERLAND CO,"44,784","44,622","42,485","73,569","105,550"
35,DAVIDSON CO,"55,424","55,218","51,855","1 03,445","337,000"
36,DECATUR CO,"48,838","48,296","45,987","73,763","97,400"
37,DEKALB CO,"45,026","44,847","43,183","67,396","85,000"
38,DICKSON CO,"46,994","46,744","44,708","73,545","125,250"
39,DYER CO,"51,362","51,030","48,494","83,524","117,900"
40,DYERSBURG,"54,443","53,938","51,767","82,199","120,000"
41,FAYETTE CO,"43,696","43,413","41,855","61,612","108,800"
42,FENTRESS CO,"45,747","45,541","42,922","63,072","89,332"
43,FRANKLIN CO,"49,062","48,752","46,957","72,442","113,200"
44,HUMBOLDT,"46,899","45,846","41,765","76,023","121,486"
45,*MILAN,"48,751","48,421","45,655","88,535","103,300"
46,*TRENTON,"48,413","47,355","44,757","73,280","118,575"
47,*BRADFORD,"47,426","46,315","42,990","74,552","100,760"
48,*GIBSON CO. SPEC.,"48,235","47,785","45,180","76,188","106,000"
49,GILES CO,"48,837","48,454","46,535","75,975","106,000"
50,GRAINGER CO,"48,281","47,921","45,831","68,502","97,479"
51,GREENE CO,"48,810","48,471","46,868","72,052","105,166"
52,GREENEVILLE,"54,609","54,232","51,295","90,497","131,626"
53,GRUNDY CO,"44,271","43,948","42,582","63,014","85,000"
54,HAMBLEN CO,"51,154","50,978","49,134","83,650","130,683"
55,HAMILTON CO,"53,017","52,735","50,469","90,784","170,200"
56,HANCOCK CO,"44,896","44,456","41,992","66,948","76,500"
57,HARDEMAN CO,"49,212","48,858","46,467","72,536","109,322"
58,HARDIN CO,"46,820","46,577","44,760","63,897","91,376"
59,HAWKINS CO,"46,735","46,520","44,563","64,376","99,306"
60,ROGERSVILLE,"51,176","49,910","48,436","80,754","101,261"
61,HAYWOOD CO,"47,470","47,053","44,304","68,504","101,000"
0,,EDUCATORS,PERSONNEL,TEACHER,PRINCIPAL,SUPERINTENDENT
1,HENDERSON CO,"50,540","50,304","48,063","68,981","105,000"
2,LEXINGTON,"48,448","47,827","45,511","71,913","99,500"
3,HENRY CO,"50,404","50,121","47,613","76,753","125,400"
4,*PARIS,"53,391","52,826","50,863","85,571","108,303"
5,HICKMAN CO,"46,715","46,388","44,293","77,659","97,000"
6,HOUSTON CO,"49,703","49,348","47,025","67,201","89,100"
7,HUMPHREYS CO,"48,182","48,032","46,159","69,350","91,100"
8,JACKSON CO,"47,555","47,236","44,936","68,643","80,878"
9,JEFFERSON CO,"47,896","47,762","45,711","75,567","113,808"
10,JOHNSON CO,"47,330","46,910","44,491","67,080","94,988"
11,KNOX CO,"52,393","52,281","49,384","95,880","180,000"
12,LAKE CO,"45,287","44,606","42,329","69,334","96,000"
13,LAUDERDALE CO,"47,507","47,018","44,842","78,089","120,000"
