,system_name,county,year,system,subgroup,n_students,n_chronically_absent,n_10_to_20_pct,n_greater_than_20_pct,pct_chronically_absent,pct_10_to_20_pct,pct_greater_than_20_pct,licensed_educator,instuctional_personnel,classroom_teacher,principal,superintendent
143,achievement school district,,2017,985,all students,11436,3404,2451,953,29.8,21.4,8.3,"56,814","56,814","54,373","91,425","220,000"
131,alamo,crockett,2017,171,all students,570,34,31,3,6,5.4,.5,"45,070","43,411","42,886","70,003","101,356"
3,alcoa,blount,2017,51,all students,1948,155,140,15,8,7.2,.8,"64,653","64,502","61,790","99,120","112,567"
70,alvin c york institute ssd,fentress,2017,961,all students,584,85,69,16,14.6,11.8,2.7,,,,,
40,anderson co,anderson,2017,10,all students,6331,761,607,154,12,9.6,2.4,"49,268","48,764","46,386","81,234","135,000"
7,arlington,shelby,2017,793,all students,5089,216,194,22,4.2,3.8,.4,"62,382","61,307","58,891","1 07,598","157,570"
21,athens,mcminn,2017,541,all students,1535,108,90,18,7,5.9,1.2,"59,050","58,586","55,254","98,858","126,380"
5,bartlett,shelby,2017,794,all students,8710,746,643,103,8.6,7.4,1.2,"60,056","59,092","56,740","1 09,258","194,400"
32,bedford co,bedford,2017,20,all students,8502,1088,863,225,12.8,10.2,2.6,"47,974","47,685","45,733","78,245","107,826"
83,bells city,crockett,2017,172,all students,360,16,16,0,4.4,4.4,0,"48,652","48,652","46,747","56,399","76,000"
82,benton co,benton,2017,30,all students,2123,192,167,25,9,7.9,1.2,"48,233","48,032","45,908","64,938","89,207"
52,bledsoe co,bledsoe,2017,40,all students,1681,279,227,52,16.6,13.5,3.1,"51,766","51,268","48,781","69,205","103,635"
51,blount co,blount,2017,50,all students,10641,967,820,147,9.1,7.7,1.4,"53,556","53,330","50,990","90,387","128,900"
132,bradford ssd,gibson,2017,274,all students,523,42,37,5,8,7.1,1,"47,426","46,315","42,990","74,552","100,760"
19,bradley co,bradley,2017,60,all students,9770,1103,939,164,11.3,9.6,1.7,"52,614","52,471","50,559","79,943","136,000"
8,bristol,sullivan,2017,821,all students,3921,437,341,96,11.1,8.7,2.4,"56,033","55,582","52,591","96,979","146,019"
73,campbell co,campbell,2017,70,all students,5456,1178,939,239,21.6,17.2,4.4,"48,445","48,239","45,726","72,243","108,918"
98,cannon co,cannon,2017,80,all students,1894,275,223,52,14.5,11.8,2.7,"46,534","46,219","44,245","68,512","99,521"
80,carroll co,carroll,2017,90,all students,181,0,0,0,0,0,0,"47,177","43,919","42,115","54,745","94,732"
